"author","title","journal","year","doi_link","article.type"
"TSjoen G G","Impact of testosterone-based gender-affirming hormone therapy on toll-like receptor transcript levels and peripheral blood leukocyte counts in transmasculine individuals","Frontiers in Immunology",2026,"www.frontiersin.org/journals/immunology/articles/10.3389/fimmu.2026.1752956/full","Data Analysis"
"Chaplyn G","Plasma testosterone concentration is correlated with circulating immune cell abundance in transgender young people on gender-affirming hormone treatment","Frontiers in Immunology",2025,"www.frontiersin.org/journals/immunology/articles/10.3389/fimmu.2025.1608543/full","Data Analysis"
"Hartland J","Critically appraising the Cass Report: Methodological flaws and unsupported claims","BMC Medical Research Methodology",2025,"doi.org/10.1186/s12874-025-02581-7","Review"
"Cheung A S","Epigenetic remodeling by sex hormone receptors and implications for gender affirming hormone therapy","Frontiers in Immunology",2025,"www.frontiersin.org/journals/immunology/articles/10.3389/fimmu.2025.1501959/full","Review"
"Carré J M","Pubertal timing predicts adult psychosexuality: Evidence from typically developing adults and adults with isolated GnRH deficiency","Psychoneuroendocrinology",2020,"linkinghub.elsevier.com/retrieve/pii/S0306453020301529","Data Analysis"
"Evans N","Spatial memory is impaired by peripubertal GnRH agonist treatment and testosterone replacement in sheep","Psychoneuroendocrinology",2017,"www.sciencedirect.com/science/article/pii/S0306453016305595","Data Analysis"
"MacKinnon K R","“Providers had no idea what to do with me”: A mixed-methods analysis of detransition/retransition support, care, and information needs among sexual and gender minority individuals","International Journal of Transgender Health",2025,"www.tandfonline.com/doi/full/10.1080/26895269.2025.2538744","Data Analysis"
"Garofalo R","Mental and Emotional Health of Youth after 24 months of Gender-Affirming Medical Care Initiated with Pubertal Suppression","medRxiv",2025,"www.medrxiv.org/content/10.1101/2025.05.14.25327614v1","Preprint"
"BrignardelloPetersen R","Mastectomy for individuals with gender dysphoria below 26 years of age: A systematic review and meta-analysis","Plastic and Reconstructive Surgery",2024,"journals.lww.com/10.1097/PRS.0000000000011734","Data Analysis"
"Nuñez D G","Endocrine care of transgender and gender-diverse adults: Swiss recommendations","Swiss Medical Weekly",2026,"smw.ch/index.php/smw/article/view/5059","Review"
"Martinerie L","Endocrine Management of Transgender and Gender-Diverse Adolescents: Expert Opinion of the ESPE Working Group on Gender Incongruence and the Endo-ERN Main Thematic Group on Sexual Development and Maturation","Hormone Research in Paediatrics",2024,"doi.org/10.1159/000542904","Review"
"Goodman M","Standards of care for the health of transgender and gender diverse people, version 8","International Journal of Transgender Health",2022,"www.tandfonline.com/doi/full/10.1080/26895269.2022.2100644","Review"
"Tangpricha V","Endocrine Treatment of Gender-Dysphoric/Gender-Incongruent Persons: An Endocrine Society Clinical Practice Guideline","Endocrine Practice",2017,"academic.oup.com/jcem/article/102/11/3869/4157558","Review"
"Viner R M","Short-term outcomes of pubertal suppression in a selected cohort of 12 to 15 year old young people with persistent gender dysphoria in the UK","PLOS ONE",2021,"dx.plos.org/10.1371/journal.pone.0243894","Data Analysis"
"Schwarz K","Brain Maturation, Cognition and Voice Pattern in a Gender Dysphoria Case under Pubertal Suppression","Frontiers in Human Neuroscience",2017,"http://journal.frontiersin.org/article/10.3389/fnhum.2017.00528/full","Data Analysis"
"Chen D","Anger, Aggression, and Irritability in Transgender and Gender Diverse Youth Following Testosterone Initiation: A 12-Month Longitudinal Analysis","Journal of Adolescent Health",2026,"www.jahonline.org/article/S1054-139X(25)00827-4/","Data Analysis"
"OlsonKennedy J","Psychosocial functioning in transgender youth after 2 years of hormones","New England Journal of Medicine",2023,"http://www.nejm.org/doi/10.1056/NEJMoa2206297","Data Analysis"
"McCracken C","Is There a Link Between Hormone Use and Diabetes Incidence in Transgender People? Data from the STRONG Cohort","The Journal of Clinical Endocrinology & Metabolism",2021,"academic.oup.com/jcem/article/107/4/e1549/6429721","Data Analysis"
"McDaniel M A","Timing of peripubertal steroid exposure predicts visuospatial cognition in men: Evidence from three samples","Hormones and Behavior",2020,"linkinghub.elsevier.com/retrieve/pii/S0018506X20300386","Data Analysis"
"TSjoen G G","Effects of Gender-Affirming Hormone Therapy on Insulin Sensitivity and Incretin Responses in Transgender People","Diabetes Care",2020,"diabetesjournals.org/care/article/43/2/411/36004/Effects-of-Gender-Affirming-Hormone-Therapy-on","Data Analysis"
"Slart R H","Bone Mineral Density in Transgender Individuals After Gonadectomy and Long-Term Gender-Affirming Hormonal Treatment","The Journal of Sexual Medicine",2019,"linkinghub.elsevier.com/retrieve/pii/S174360951931238X","Data Analysis"
"Millman A","Cross-sex Hormones and Acute Cardiovascular Events in Transgender Persons","Annals of internal medicine",2018,"www.ncbi.nlm.nih.gov/pmc/articles/PMC6636681/","Data Analysis"
"Kasper S","Effects of testosterone treatment on hypothalamic neuroplasticity in female-to-male transgender individuals","Brain Structure & Function",2018,"link.springer.com/article/10.1007/s00429-017-1494-z","Data Analysis"
"Ganor O","Mastectomy in Transgender and Cisgender Patients: A Comparative Analysis of Epidemiology and Postoperative Outcomes","Plastic and Reconstructive Surgery - Global Open",2019,"journals.lww.com/01720096-201906000-00007","Data Analysis"
"Faino A V","Patient-Reported Outcomes and Body Mass Index in Adolescents and Young Adults After Gender-Affirming Chest Surgery: A Single-Center Cross-Sectional Study","Annals of Surgery Open",2026,"journals.lww.com/aosopen/fulltext/2026/06000/patient_reported_outcomes_and_body_mass_index_in.28.aspx","Data Analysis"
"Conard L A","Changes in Bone Marrow Adipose Tissue in Transgender and Gender Non-Conforming Youth Undergoing Pubertal Suppression: A Pilot Study","Journal of Clinical Densitometry",2022,"linkinghub.elsevier.com/retrieve/pii/S1094695022000713","Data Analysis"
"Kölle S","How do elevated levels of testosterone affect the function of the human fallopian tube and fertility?—New insights","Molecular Reproduction and Development",2020,"onlinelibrary.wiley.com/doi/abs/10.1002/mrd.23291","Data Analysis"
"Garolla A","Semen Quality in Transgender Individuals Seeking Fertility Preservation","Andrology",2026,"onlinelibrary.wiley.com/doi/abs/10.1111/andr.70268","Data Analysis"
"Nagy C","Cardiovascular Disease Risk Factors and Myocardial Infarction in the Transgender Population","Circulation: Cardiovascular Quality and Outcomes",2019,"www.ahajournals.org/doi/10.1161/CIRCOUTCOMES.119.005597","Data Analysis"
"Meinck F","Prevalence of Diverse Genders and Sexualities in Australia and Associations With Five Forms of Child Maltreatment and Multi-type Maltreatment","Child Maltreatment",2024,"http://journals.sagepub.com/doi/10.1177/10775595231226331","Data Analysis"
"Ames M","Evidence for an Altered Sex Ratio in Clinic‐Referred Adolescents with Gender Dysphoria","The Journal of Sexual Medicine",2015,"www.researchgate.net/publication/271221293_Evidence_for_an_Altered_Sex_Ratio_in_Clinic-Referred_Adolescents_with_Gender_Dysphoria","Data Analysis"
"Lam J S H","Gender fluidity and detransition: Results of a cross-sectional online survey of sexual and gender minorities living in the US and Canada","The Journal of LGBTQ+ Mental Health",2026,"doi.org/10.1080/30678935.2026.2653130","Data Analysis"
"Steensma T D","The Amsterdam Cohort of Gender Dysphoria Study (1972–2015): Trends in Prevalence, Treatment, and Regrets","The Journal of Sexual Medicine",2018,"linkinghub.elsevier.com/retrieve/pii/S1743609518300572","Data Analysis"
"Blomqvist L","Letter of Concern About Ruuska et al. From 4 April 2026","Acta Paediatrica",2026,"onlinelibrary.wiley.com/doi/10.1111/apa.70620","Editorial"
"HincapieCastillo J M","Trajectories of antidepressant dispensing among privately insured transgender people in the United States","Scientific Reports",2026,"www.nature.com/articles/s41598-026-51351-y","Data Analysis"
"Carmichael P","Baseline findings from the Longitudinal Outcomes of Gender Identity in Children (LOGIC) study","The British Journal of Psychiatry",2025,"www.cambridge.org/core/journals/the-british-journal-of-psychiatry/article/baseline-findings-from-the-longitudinal-outcomes-of-gender-identity-in-children-logic-study/29C43BF6360C11D9977362F805AF0311","Data Analysis"
"LinSu K","Global Disorders of Sex Development Update since 2006: Perceptions, Approach and Care","Hormone Research in Paediatrics",2016,"www.karger.com/Article/FullText/442975","Review"
"Hocking J J","Effective Communication About Pregnancy, Birth, Lactation, Breastfeeding and Newborn Care: The Importance of Sexed Language","Frontiers in Global Women's Health",2022,"www.frontiersin.org/articles/10.3389/fgwh.2022.818856/full","Editorial"
"Miller W L","Considering Sex as a Biological Variable in Basic and Clinical Studies: An Endocrine Society Scientific Statement","Endocrine Reviews",2021,"academic.oup.com/edrv/advance-article/doi/10.1210/endrev/bnaa034/6159361","Position Statement"
"Leffler J","Impact of testosterone-based gender-affirming hormone therapy on toll-like receptor transcript levels and peripheral blood leukocyte counts in transmasculine individuals","Frontiers in Immunology",2026,"www.frontiersin.org/journals/immunology/articles/10.3389/fimmu.2026.1752956/full","Data Analysis"
"Siafarikas A","Plasma testosterone concentration is correlated with circulating immune cell abundance in transgender young people on gender-affirming hormone treatment","Frontiers in Immunology",2025,"www.frontiersin.org/journals/immunology/articles/10.3389/fimmu.2025.1608543/full","Data Analysis"
"Paschedag J","Critically appraising the Cass Report: Methodological flaws and unsupported claims","BMC Medical Research Methodology",2025,"doi.org/10.1186/s12874-025-02581-7","Review"
"Novakovic B","Epigenetic remodeling by sex hormone receptors and implications for gender affirming hormone therapy","Frontiers in Immunology",2025,"www.frontiersin.org/journals/immunology/articles/10.3389/fimmu.2025.1501959/full","Review"
"Balasubramanian R","Pubertal timing predicts adult psychosexuality: Evidence from typically developing adults and adults with isolated GnRH deficiency","Psychoneuroendocrinology",2020,"linkinghub.elsevier.com/retrieve/pii/S0306453020301529","Data Analysis"
"Rosenthal S M","Mental and Emotional Health of Youth after 24 months of Gender-Affirming Medical Care Initiated with Pubertal Suppression","medRxiv",2025,"www.medrxiv.org/content/10.1101/2025.05.14.25327614v1","Preprint"
"Winzeler B","Endocrine care of transgender and gender-diverse adults: Swiss recommendations","Swiss Medical Weekly",2026,"smw.ch/index.php/smw/article/view/5059","Review"
"de Vries M C","Endocrine Management of Transgender and Gender-Diverse Adolescents: Expert Opinion of the ESPE Working Group on Gender Incongruence and the Endo-ERN Main Thematic Group on Sexual Development and Maturation","Hormone Research in Paediatrics",2024,"doi.org/10.1159/000542904","Review"
"Arcelus J","Standards of care for the health of transgender and gender diverse people, version 8","International Journal of Transgender Health",2022,"www.tandfonline.com/doi/full/10.1080/26895269.2022.2100644","Review"
"TSjoen G G","Endocrine Treatment of Gender-Dysphoric/Gender-Incongruent Persons: An Endocrine Society Clinical Practice Guideline","Endocrine Practice",2017,"academic.oup.com/jcem/article/102/11/3869/4157558","Review"
"Santana G L","Short-term outcomes of pubertal suppression in a selected cohort of 12 to 15 year old young people with persistent gender dysphoria in the UK","PLOS ONE",2021,"dx.plos.org/10.1371/journal.pone.0243894","Data Analysis"
"Lobato M I R","Brain Maturation, Cognition and Voice Pattern in a Gender Dysphoria Case under Pubertal Suppression","Frontiers in Human Neuroscience",2017,"http://journal.frontiersin.org/article/10.3389/fnhum.2017.00528/full","Data Analysis"
"Goodman M","Is There a Link Between Hormone Use and Diabetes Incidence in Transgender People? Data from the STRONG Cohort","The Journal of Clinical Endocrinology & Metabolism",2021,"academic.oup.com/jcem/article/107/4/e1549/6429721","Data Analysis"
"Puts D A","Timing of peripubertal steroid exposure predicts visuospatial cognition in men: Evidence from three samples","Hormones and Behavior",2020,"linkinghub.elsevier.com/retrieve/pii/S0018506X20300386","Data Analysis"
"Goodman M","Cross-sex Hormones and Acute Cardiovascular Events in Transgender Persons","Annals of internal medicine",2018,"www.ncbi.nlm.nih.gov/pmc/articles/PMC6636681/","Data Analysis"
"Lanzenberger R","Effects of testosterone treatment on hypothalamic neuroplasticity in female-to-male transgender individuals","Brain Structure & Function",2018,"link.springer.com/article/10.1007/s00429-017-1494-z","Data Analysis"
"Morrison S D","Patient-Reported Outcomes and Body Mass Index in Adolescents and Young Adults After Gender-Affirming Chest Surgery: A Single-Center Cross-Sectional Study","Annals of Surgery Open",2026,"journals.lww.com/aosopen/fulltext/2026/06000/patient_reported_outcomes_and_body_mass_index_in.28.aspx","Data Analysis"
"Gordon C M","Changes in Bone Marrow Adipose Tissue in Transgender and Gender Non-Conforming Youth Undergoing Pubertal Suppression: A Pilot Study","Journal of Clinical Densitometry",2022,"linkinghub.elsevier.com/retrieve/pii/S1094695022000713","Data Analysis"
"Group GIIG T G I I","Semen Quality in Transgender Individuals Seeking Fertility Preservation","Andrology",2026,"onlinelibrary.wiley.com/doi/abs/10.1111/andr.70268","Data Analysis"
"Reiner J","Cardiovascular Disease Risk Factors and Myocardial Infarction in the Transgender Population","Circulation: Cardiovascular Quality and Outcomes",2019,"www.ahajournals.org/doi/10.1161/CIRCOUTCOMES.119.005597","Data Analysis"
"Scott J G","Prevalence of Diverse Genders and Sexualities in Australia and Associations With Five Forms of Child Maltreatment and Multi-type Maltreatment","Child Maltreatment",2024,"http://journals.sagepub.com/doi/10.1177/10775595231226331","Data Analysis"
"Zucker K J","Evidence for an Altered Sex Ratio in Clinic‐Referred Adolescents with Gender Dysphoria","The Journal of Sexual Medicine",2015,"www.researchgate.net/publication/271221293_Evidence_for_an_Altered_Sex_Ratio_in_Clinic-Referred_Adolescents_with_Gender_Dysphoria","Data Analysis"
"den Heijer M","The Amsterdam Cohort of Gender Dysphoria Study (1972–2015): Trends in Prevalence, Treatment, and Regrets","The Journal of Sexual Medicine",2018,"linkinghub.elsevier.com/retrieve/pii/S1743609518300572","Data Analysis"
"Korbmacher M","Letter of Concern About Ruuska et al. From 4 April 2026","Acta Paediatrica",2026,"onlinelibrary.wiley.com/doi/10.1111/apa.70620","Editorial"
"Omar R","Baseline findings from the Longitudinal Outcomes of Gender Identity in Children (LOGIC) study","The British Journal of Psychiatry",2025,"www.cambridge.org/core/journals/the-british-journal-of-psychiatry/article/baseline-findings-from-the-longitudinal-outcomes-of-gender-identity-in-children-logic-study/29C43BF6360C11D9977362F805AF0311","Data Analysis"
"and the Global DSD Update Consortium","Global Disorders of Sex Development Update since 2006: Perceptions, Approach and Care","Hormone Research in Paediatrics",2016,"www.karger.com/Article/FullText/442975","Review"
"Dahlen H G","Effective Communication About Pregnancy, Birth, Lactation, Breastfeeding and Newborn Care: The Importance of Sexed Language","Frontiers in Global Women's Health",2022,"www.frontiersin.org/articles/10.3389/fgwh.2022.818856/full","Editorial"
"Verma R","Considering Sex as a Biological Variable in Basic and Clinical Studies: An Endocrine Society Scientific Statement","Endocrine Reviews",2021,"academic.oup.com/edrv/advance-article/doi/10.1210/endrev/bnaa034/6159361","Position Statement"
"Yürekli B S","Impact of testosterone-based gender-affirming hormone therapy on toll-like receptor transcript levels and peripheral blood leukocyte counts in transmasculine individuals","Frontiers in Immunology",2026,"www.frontiersin.org/journals/immunology/articles/10.3389/fimmu.2026.1752956/full","Data Analysis"
"Leffler J","Plasma testosterone concentration is correlated with circulating immune cell abundance in transgender young people on gender-affirming hormone treatment","Frontiers in Immunology",2025,"www.frontiersin.org/journals/immunology/articles/10.3389/fimmu.2025.1608543/full","Data Analysis"
"McLamore Q","Critically appraising the Cass Report: Methodological flaws and unsupported claims","BMC Medical Research Methodology",2025,"doi.org/10.1186/s12874-025-02581-7","Review"
"Puts D A","Pubertal timing predicts adult psychosexuality: Evidence from typically developing adults and adults with isolated GnRH deficiency","Psychoneuroendocrinology",2020,"linkinghub.elsevier.com/retrieve/pii/S0306453020301529","Data Analysis"
"Radix A E","Mental and Emotional Health of Youth after 24 months of Gender-Affirming Medical Care Initiated with Pubertal Suppression","medRxiv",2025,"www.medrxiv.org/content/10.1101/2025.05.14.25327614v1","Preprint"
"Vibert V","Endocrine care of transgender and gender-diverse adults: Swiss recommendations","Swiss Medical Weekly",2026,"smw.ch/index.php/smw/article/view/5059","Review"
"Skordis N","Endocrine Management of Transgender and Gender-Diverse Adolescents: Expert Opinion of the ESPE Working Group on Gender Incongruence and the Endo-ERN Main Thematic Group on Sexual Development and Maturation","Hormone Research in Paediatrics",2024,"doi.org/10.1159/000542904","Review"
"Green J","Standards of care for the health of transgender and gender diverse people, version 8","International Journal of Transgender Health",2022,"www.tandfonline.com/doi/full/10.1080/26895269.2022.2100644","Review"
"Anes M","Brain Maturation, Cognition and Voice Pattern in a Gender Dysphoria Case under Pubertal Suppression","Frontiers in Human Neuroscience",2017,"http://journal.frontiersin.org/article/10.3389/fnhum.2017.00528/full","Data Analysis"
"Silverberg M J","Is There a Link Between Hormone Use and Diabetes Incidence in Transgender People? Data from the STRONG Cohort","The Journal of Clinical Endocrinology & Metabolism",2021,"academic.oup.com/jcem/article/107/4/e1549/6429721","Data Analysis"
"Blanchard R","Timing of peripubertal steroid exposure predicts visuospatial cognition in men: Evidence from three samples","Hormones and Behavior",2020,"linkinghub.elsevier.com/retrieve/pii/S0018506X20300386","Data Analysis"
"Quinn V P","Cross-sex Hormones and Acute Cardiovascular Events in Transgender Persons","Annals of internal medicine",2018,"www.ncbi.nlm.nih.gov/pmc/articles/PMC6636681/","Data Analysis"
"Gopalan M","Patient-Reported Outcomes and Body Mass Index in Adolescents and Young Adults After Gender-Affirming Chest Surgery: A Single-Center Cross-Sectional Study","Annals of Surgery Open",2026,"journals.lww.com/aosopen/fulltext/2026/06000/patient_reported_outcomes_and_body_mass_index_in.28.aspx","Data Analysis"
"Conard L A","Changes in Bone Marrow Adipose Tissue in Transgender and Gender Non-Conforming Youth Undergoing Pubertal Suppression: A Pilot Study","Journal of Clinical Densitometry",2022,"linkinghub.elsevier.com/retrieve/pii/S1094695022000713","Data Analysis"
"Mazhari R","Cardiovascular Disease Risk Factors and Myocardial Infarction in the Transgender Population","Circulation: Cardiovascular Quality and Outcomes",2019,"www.ahajournals.org/doi/10.1161/CIRCOUTCOMES.119.005597","Data Analysis"
"Thomas H J","Prevalence of Diverse Genders and Sexualities in Australia and Associations With Five Forms of Child Maltreatment and Multi-type Maltreatment","Child Maltreatment",2024,"http://journals.sagepub.com/doi/10.1177/10775595231226331","Data Analysis"
"Fitzsimmons C L","Evidence for an Altered Sex Ratio in Clinic‐Referred Adolescents with Gender Dysphoria","The Journal of Sexual Medicine",2015,"www.researchgate.net/publication/271221293_Evidence_for_an_Altered_Sex_Ratio_in_Clinic-Referred_Adolescents_with_Gender_Dysphoria","Data Analysis"
"CohenKettenis P T","The Amsterdam Cohort of Gender Dysphoria Study (1972–2015): Trends in Prevalence, Treatment, and Regrets","The Journal of Sexual Medicine",2018,"linkinghub.elsevier.com/retrieve/pii/S1743609518300572","Data Analysis"
"Gronroos M","Letter of Concern About Ruuska et al. From 4 April 2026","Acta Paediatrica",2026,"onlinelibrary.wiley.com/doi/10.1111/apa.70620","Editorial"
"Allison C","Baseline findings from the Longitudinal Outcomes of Gender Identity in Children (LOGIC) study","The British Journal of Psychiatry",2025,"www.cambridge.org/core/journals/the-british-journal-of-psychiatry/article/baseline-findings-from-the-longitudinal-outcomes-of-gender-identity-in-children-logic-study/29C43BF6360C11D9977362F805AF0311","Data Analysis"
"Mouriquand P","Global Disorders of Sex Development Update since 2006: Perceptions, Approach and Care","Hormone Research in Paediatrics",2016,"www.karger.com/Article/FullText/442975","Review"
"Raznahan A","Considering Sex as a Biological Variable in Basic and Clinical Studies: An Endocrine Society Scientific Statement","Endocrine Reviews",2021,"academic.oup.com/edrv/advance-article/doi/10.1210/endrev/bnaa034/6159361","Position Statement"
"Winzeler B","Impact of testosterone-based gender-affirming hormone therapy on toll-like receptor transcript levels and peripheral blood leukocyte counts in transmasculine individuals","Frontiers in Immunology",2026,"www.frontiersin.org/journals/immunology/articles/10.3389/fimmu.2026.1752956/full","Data Analysis"
"Lin A","Plasma testosterone concentration is correlated with circulating immune cell abundance in transgender young people on gender-affirming hormone treatment","Frontiers in Immunology",2025,"www.frontiersin.org/journals/immunology/articles/10.3389/fimmu.2025.1608543/full","Data Analysis"
"Gilmore J","Critically appraising the Cass Report: Methodological flaws and unsupported claims","BMC Medical Research Methodology",2025,"doi.org/10.1186/s12874-025-02581-7","Review"
"Delaney A","Pubertal timing predicts adult psychosexuality: Evidence from typically developing adults and adults with isolated GnRH deficiency","Psychoneuroendocrinology",2020,"linkinghub.elsevier.com/retrieve/pii/S0306453020301529","Data Analysis"
"Thalmann S","Endocrine care of transgender and gender-diverse adults: Swiss recommendations","Swiss Medical Weekly",2026,"smw.ch/index.php/smw/article/view/5059","Review"
"RichterUnruh A","Endocrine Management of Transgender and Gender-Diverse Adolescents: Expert Opinion of the ESPE Working Group on Gender Incongruence and the Endo-ERN Main Thematic Group on Sexual Development and Maturation","Hormone Research in Paediatrics",2024,"doi.org/10.1159/000542904","Review"
"Hancock A B","Standards of care for the health of transgender and gender diverse people, version 8","International Journal of Transgender Health",2022,"www.tandfonline.com/doi/full/10.1080/26895269.2022.2100644","Review"
"Tramontina S","Brain Maturation, Cognition and Voice Pattern in a Gender Dysphoria Case under Pubertal Suppression","Frontiers in Human Neuroscience",2017,"http://journal.frontiersin.org/article/10.3389/fnhum.2017.00528/full","Data Analysis"
"Tangpricha V","Is There a Link Between Hormone Use and Diabetes Incidence in Transgender People? Data from the STRONG Cohort","The Journal of Clinical Endocrinology & Metabolism",2021,"academic.oup.com/jcem/article/107/4/e1549/6429721","Data Analysis"
"Balasubramanian R","Timing of peripubertal steroid exposure predicts visuospatial cognition in men: Evidence from three samples","Hormones and Behavior",2020,"linkinghub.elsevier.com/retrieve/pii/S0018506X20300386","Data Analysis"
"Robinson B","Cross-sex Hormones and Acute Cardiovascular Events in Transgender Persons","Annals of internal medicine",2018,"www.ncbi.nlm.nih.gov/pmc/articles/PMC6636681/","Data Analysis"
"Eble D","Patient-Reported Outcomes and Body Mass Index in Adolescents and Young Adults After Gender-Affirming Chest Surgery: A Single-Center Cross-Sectional Study","Annals of Surgery Open",2026,"journals.lww.com/aosopen/fulltext/2026/06000/patient_reported_outcomes_and_body_mass_index_in.28.aspx","Data Analysis"
"Kalkwarf H J","Changes in Bone Marrow Adipose Tissue in Transgender and Gender Non-Conforming Youth Undergoing Pubertal Suppression: A Pilot Study","Journal of Clinical Densitometry",2022,"linkinghub.elsevier.com/retrieve/pii/S1094695022000713","Data Analysis"
"Leef J","Evidence for an Altered Sex Ratio in Clinic‐Referred Adolescents with Gender Dysphoria","The Journal of Sexual Medicine",2015,"www.researchgate.net/publication/271221293_Evidence_for_an_Altered_Sex_Ratio_in_Clinic-Referred_Adolescents_with_Gender_Dysphoria","Data Analysis"
"Gooren L J G","The Amsterdam Cohort of Gender Dysphoria Study (1972–2015): Trends in Prevalence, Treatment, and Regrets","The Journal of Sexual Medicine",2018,"linkinghub.elsevier.com/retrieve/pii/S1743609518300572","Data Analysis"
"Olakivi O","Letter of Concern About Ruuska et al. From 4 April 2026","Acta Paediatrica",2026,"onlinelibrary.wiley.com/doi/10.1111/apa.70620","Editorial"
"Wright T","Baseline findings from the Longitudinal Outcomes of Gender Identity in Children (LOGIC) study","The British Journal of Psychiatry",2025,"www.cambridge.org/core/journals/the-british-journal-of-psychiatry/article/baseline-findings-from-the-longitudinal-outcomes-of-gender-identity-in-children-logic-study/29C43BF6360C11D9977362F805AF0311","Data Analysis"
"MeyerBahlburg H F L","Global Disorders of Sex Development Update since 2006: Perceptions, Approach and Care","Hormone Research in Paediatrics",2016,"www.karger.com/Article/FullText/442975","Review"
"French M","Plasma testosterone concentration is correlated with circulating immune cell abundance in transgender young people on gender-affirming hormone treatment","Frontiers in Immunology",2025,"www.frontiersin.org/journals/immunology/articles/10.3389/fimmu.2025.1608543/full","Data Analysis"
"Kennedy N","Critically appraising the Cass Report: Methodological flaws and unsupported claims","BMC Medical Research Methodology",2025,"doi.org/10.1186/s12874-025-02581-7","Review"
"Crowley W","Pubertal timing predicts adult psychosexuality: Evidence from typically developing adults and adults with isolated GnRH deficiency","Psychoneuroendocrinology",2020,"linkinghub.elsevier.com/retrieve/pii/S0306453020301529","Data Analysis"
"Streuli M I","Endocrine care of transgender and gender-diverse adults: Swiss recommendations","Swiss Medical Weekly",2026,"smw.ch/index.php/smw/article/view/5059","Review"
"Johnson T W","Standards of care for the health of transgender and gender diverse people, version 8","International Journal of Transgender Health",2022,"www.tandfonline.com/doi/full/10.1080/26895269.2022.2100644","Review"
"Vupputuri S","Is There a Link Between Hormone Use and Diabetes Incidence in Transgender People? Data from the STRONG Cohort","The Journal of Clinical Endocrinology & Metabolism",2021,"academic.oup.com/jcem/article/107/4/e1549/6429721","Data Analysis"
"Delaney A","Timing of peripubertal steroid exposure predicts visuospatial cognition in men: Evidence from three samples","Hormones and Behavior",2020,"linkinghub.elsevier.com/retrieve/pii/S0018506X20300386","Data Analysis"
"Roblin D","Cross-sex Hormones and Acute Cardiovascular Events in Transgender Persons","Annals of internal medicine",2018,"www.ncbi.nlm.nih.gov/pmc/articles/PMC6636681/","Data Analysis"
"Ettinger R E","Patient-Reported Outcomes and Body Mass Index in Adolescents and Young Adults After Gender-Affirming Chest Surgery: A Single-Center Cross-Sectional Study","Annals of Surgery Open",2026,"journals.lww.com/aosopen/fulltext/2026/06000/patient_reported_outcomes_and_body_mass_index_in.28.aspx","Data Analysis"
"Dolan L M","Changes in Bone Marrow Adipose Tissue in Transgender and Gender Non-Conforming Youth Undergoing Pubertal Suppression: A Pilot Study","Journal of Clinical Densitometry",2022,"linkinghub.elsevier.com/retrieve/pii/S1094695022000713","Data Analysis"
"Lishak V","Evidence for an Altered Sex Ratio in Clinic‐Referred Adolescents with Gender Dysphoria","The Journal of Sexual Medicine",2015,"www.researchgate.net/publication/271221293_Evidence_for_an_Altered_Sex_Ratio_in_Clinic-Referred_Adolescents_with_Gender_Dysphoria","Data Analysis"
"Kreukels B P C","The Amsterdam Cohort of Gender Dysphoria Study (1972–2015): Trends in Prevalence, Treatment, and Regrets","The Journal of Sexual Medicine",2018,"linkinghub.elsevier.com/retrieve/pii/S1743609518300572","Data Analysis"
"Bolstad S H","Letter of Concern About Ruuska et al. From 4 April 2026","Acta Paediatrica",2026,"onlinelibrary.wiley.com/doi/10.1111/apa.70620","Editorial"
"Butler G","Baseline findings from the Longitudinal Outcomes of Gender Identity in Children (LOGIC) study","The British Journal of Psychiatry",2025,"www.cambridge.org/core/journals/the-british-journal-of-psychiatry/article/baseline-findings-from-the-longitudinal-outcomes-of-gender-identity-in-children-logic-study/29C43BF6360C11D9977362F805AF0311","Data Analysis"
"Mazur T","Global Disorders of Sex Development Update since 2006: Perceptions, Approach and Care","Hormone Research in Paediatrics",2016,"www.karger.com/Article/FullText/442975","Review"
"Tjiam C","Plasma testosterone concentration is correlated with circulating immune cell abundance in transgender young people on gender-affirming hormone treatment","Frontiers in Immunology",2025,"www.frontiersin.org/journals/immunology/articles/10.3389/fimmu.2025.1608543/full","Data Analysis"
"Woolley T E","Critically appraising the Cass Report: Methodological flaws and unsupported claims","BMC Medical Research Methodology",2025,"doi.org/10.1186/s12874-025-02581-7","Review"
"Breedlove S M","Pubertal timing predicts adult psychosexuality: Evidence from typically developing adults and adults with isolated GnRH deficiency","Psychoneuroendocrinology",2020,"linkinghub.elsevier.com/retrieve/pii/S0306453020301529","Data Analysis"
"Slahor L","Endocrine care of transgender and gender-diverse adults: Swiss recommendations","Swiss Medical Weekly",2026,"smw.ch/index.php/smw/article/view/5059","Review"
"Karasic D H","Standards of care for the health of transgender and gender diverse people, version 8","International Journal of Transgender Health",2022,"www.tandfonline.com/doi/full/10.1080/26895269.2022.2100644","Review"
"Crowley W","Timing of peripubertal steroid exposure predicts visuospatial cognition in men: Evidence from three samples","Hormones and Behavior",2020,"linkinghub.elsevier.com/retrieve/pii/S0018506X20300386","Data Analysis"
"Silverberg M J","Cross-sex Hormones and Acute Cardiovascular Events in Transgender Persons","Annals of internal medicine",2018,"www.ncbi.nlm.nih.gov/pmc/articles/PMC6636681/","Data Analysis"
